Open,High,Low,Volume,Close
31110.55078,31227.05078,30808.55078,309900,30837.04102
30922,31048.44922,30656.34961,239600,30761.04297
30915.09961,31082.84961,30835.80078,268800,30876.64063
30889.25,30909.5,30521.30078,328900,30647.04492
30950.5,31033.44922,30691.80078,333400,30833.24219
29811.75,30105.80078,29612.55078,337100,30022.90039
30235.30078,30776.94922,30182.44922,336600,30686.3418
30761.94922,31065.84961,30630.84961,427600,31001.58984
31070.75,31470.65039,30917.25,334000,31303.6875
31367.05078,31368.19922,31111.05078,254400,31201.58594
31248.65039,31248.80078,30957.19922,239700,31057.78906
31230.19922,31505.94922,31225.90039,198900,31300.23633
31441.15039,31588.59961,31398.15039,226000,31492.53516
31586.55078,31649.44922,31180.59961,303000,31229.88672
31281.84961,31436.65039,30776.09961,341400,30834.44336
30661.5,30692.75,30252.44922,398900,30562.14453
30905,30947.15039,30606.15039,268800,30837.83984
30862.30078,31085.30078,30702.44922,273100,30942.49023
30666.34961,30702.15039,30428,254200,30454.74609
30517,30610.69922,30329.94922,215900,30432.3457
30279.94922,30515.34961,30131.75,291000,30306.49805
30270,30271.94922,29914.15039,358000,30186.64844
29501.55078,29564.09961,29051.5,386900,29146.8125
29701,29791.15039,28571.69922,368300,28868.06445
29012.55078,29285.34961,28749.55078,367300,29176.71094
29252.94922,29273.65039,28125.15039,425800,28653.36523
28830.30078,29134.30078,28535.59961,1075700,28815.01563
27649.94922,28047.19922,27162.30078,1568100,27801.12695
27031.44922,27091.59961,25923.40039,1059000,26462.29297
26272.75,26791.44922,26234.09961,723300,26487.49219
25175.90039,25223.09961,23536.34961,760600,23970.87109
22720.75,25670.75,21351.69922,783400,25166.15625
24061.59961,24074.15039,23008.25,481900,23100.88281
23348.05078,23449.5,22002,537700,22154.89258
22411.84961,22544.05078,20267.94922,875300,20579.96094
19428.94922,21035.05078,18675.65039,476600,20083.26563
19898.30078,20924.55078,19265,501800,20317.36328
18311.30078,18895.65039,16791.05078,307600,16917.45313
17705.84961,17841.40039,16116.25,391700,17107.10156
16759.94922,18740.19922,16635.5,394600,18480.83594
18781.84961,20409.34961,18364.5,482900,19613.67188
20801.59961,21462.40039,19580.09961,539400,19968.76758
19254.44922,19716.25,18668.69922,327000,18782.18164
19307.65039,19466.30078,18792.40039,309800,19143.77734
19122.40039,19154.75,18042.25,274900,18208.13867
18325.05078,18326.09961,17143.19922,342500,17249.09961
18454.55078,19190.55078,17953.75,435400,19062.2793
18799.40039,20324.09961,18482.90039,508400,18946.22852
19553.15039,19988.30078,19166.90039,390000,19913.36719
19854.90039,19887.05078,19294,288200,19487.77344
20096.34961,20184.09961,18776.75,389900,19056.83008
18957.15039,19520.30078,18703.44922,350300,19399.77539
20394.75,20866.55078,19729.30078,475000,20681.20898
21104.69922,21122.09961,20444.25,438600,20522.41211
19812.05078,19891.44922,19247.94922,311900,19409.12305
19306.94922,19806.34961,19051.94922,349400,19701.62109
19871.34961,20356.5,19584.40039,325400,20267.71289
19697.65039,19950.15039,19515.40039,305700,19586.42188
19870.80078,20224.75,19847.65039,299900,20080.91602
